round,loss,acc,prec,rec,f1
25,0.004167301132059311,0.9993329471448382,0.8125,0.7959183673469388,0.8041237113402062
26,0.007249025045151081,0.999315393122334,0.8041237113402062,0.7959183673469388,0.8
27,0.0005775411779031861,0.9993505011673425,0.8351648351648352,0.7755102040816326,0.8042328042328042
28,0.001756376249672152,0.9993505011673425,0.8351648351648352,0.7755102040816326,0.8042328042328042
29,0.003141332805473667,0.9993329471448382,0.8125,0.7959183673469388,0.8041237113402062
30,0.005590312518442648,0.999315393122334,0.8105263157894737,0.7857142857142857,0.7979274611398963
31,0.0010709130964058804,0.9993505011673425,0.8279569892473119,0.7857142857142857,0.806282722513089
32,0.00376614306455524,0.999315393122334,0.8105263157894737,0.7857142857142857,0.7979274611398963
33,0.0032495568662332767,0.9993680551898467,0.8297872340425532,0.7959183673469388,0.8125
34,0.0025785566639807906,0.9993505011673425,0.8279569892473119,0.7857142857142857,0.806282722513089
35,0.0036188021235478924,0.999315393122334,0.8105263157894737,0.7857142857142857,0.7979274611398963
36,0.002688689591792224,0.9993680551898467,0.8369565217391305,0.7857142857142857,0.8105263157894737
37,0.005118647991833974,0.9993505011673425,0.8351648351648352,0.7755102040816326,0.8042328042328042
38,0.00357935720455861,0.9993505011673425,0.8351648351648352,0.7755102040816326,0.8042328042328042
39,0.003069918404499898,0.9993505011673425,0.8279569892473119,0.7857142857142857,0.806282722513089
40,0.001102458534453315,0.999385609212351,0.8539325842696629,0.7755102040816326,0.8128342245989305
41,1.1823877305267114e-05,0.999385609212351,0.8539325842696629,0.7755102040816326,0.8128342245989305
42,0.001211369644493789,0.999315393122334,0.8105263157894737,0.7857142857142857,0.7979274611398963
43,0.0036687262756488516,0.9993329471448382,0.8191489361702128,0.7857142857142857,0.8020833333333334
44,0.0016917472686263629,0.9993680551898467,0.8604651162790697,0.7551020408163265,0.8043478260869565
45,0.003242452953365093,0.999385609212351,0.8620689655172413,0.7653061224489796,0.8108108108108109
46,0.003908710433429297,0.9992978390998297,0.8222222222222222,0.7551020408163265,0.7872340425531915
47,0.0006881853203741321,0.9993680551898467,0.8522727272727273,0.7653061224489796,0.8064516129032258
48,0.0016511564222963817,0.999385609212351,0.8705882352941177,0.7551020408163265,0.8087431693989071
49,0.0032728000612079456,0.9993505011673425,0.8351648351648352,0.7755102040816326,0.8042328042328042
50,0.0030849036080463767,0.999315393122334,0.8241758241758241,0.7653061224489796,0.7936507936507936
